system,seed,query,query_index,unit,quantity,stratum_quantile,window_index,window_start,moirai_sd_nmae,gaugeformer_sd_nmae,selection_distance
building_energy,17,Appliances,0,Wh,appliance energy,0.25,6,15932,0.10682567270315535,0.10682567270315535,0.0007046857802192469
building_energy,17,Appliances,0,Wh,appliance energy,0.75,88,17900,0.5079881089060027,0.4803479023317152,0.007235937018649885
hydraulic,17,PS1,0,bar,pressure,0.25,191,234600,0.23215140491374855,0.23208037249111194,0.0
hydraulic,17,PS1,0,bar,pressure,0.75,399,259560,0.23739689935307381,0.2366091004626226,0.0
metropt,17,TP2,0,bar,pressure,0.25,31432,1218713,0.0004436823828176014,0.0004436823828176014,6.074097521344742e-09
metropt,17,TP2,0,bar,pressure,0.75,34090,1284188,0.7323215096366451,0.7323215096366451,0.00014909391489592583
pmsm,17,u_q,0,V,q-axis voltage,0.25,597,67022,0.00046055772479487635,0.0005346323732481591,1.6638358348757595e-07
pmsm,17,u_q,0,V,q-axis voltage,0.75,3070,824898,0.06274371800089501,0.06274371800089501,1.2623132871064646e-05
steel_industry,17,Usage_kWh,0,kWh,active energy consumption,0.25,84,30048,0.012419204954150819,0.006954967750326284,3.676504537334507e-05
steel_industry,17,Usage_kWh,0,kWh,active energy consumption,0.75,229,33528,0.8903267723570787,0.8932070044980515,0.0034015129327966687
