system,stratum_quantile,query,unit,window_index,method,step,value
building_energy,0.25,Appliances,Wh,6,observed,-95,60.0
building_energy,0.25,Appliances,Wh,6,observed,-94,60.0
building_energy,0.25,Appliances,Wh,6,observed,-93,70.0
building_energy,0.25,Appliances,Wh,6,observed,-92,200.0
building_energy,0.25,Appliances,Wh,6,observed,-91,160.0
building_energy,0.25,Appliances,Wh,6,observed,-90,50.0
building_energy,0.25,Appliances,Wh,6,observed,-89,160.0
building_energy,0.25,Appliances,Wh,6,observed,-88,60.0
building_energy,0.25,Appliances,Wh,6,observed,-87,60.0
building_energy,0.25,Appliances,Wh,6,observed,-86,50.0
building_energy,0.25,Appliances,Wh,6,observed,-85,40.0
building_energy,0.25,Appliances,Wh,6,observed,-84,60.0
building_energy,0.25,Appliances,Wh,6,observed,-83,60.0
building_energy,0.25,Appliances,Wh,6,observed,-82,60.0
building_energy,0.25,Appliances,Wh,6,observed,-81,70.0
building_energy,0.25,Appliances,Wh,6,observed,-80,90.0
building_energy,0.25,Appliances,Wh,6,observed,-79,80.0
building_energy,0.25,Appliances,Wh,6,observed,-78,80.0
building_energy,0.25,Appliances,Wh,6,observed,-77,90.0
building_energy,0.25,Appliances,Wh,6,observed,-76,100.0
building_energy,0.25,Appliances,Wh,6,observed,-75,100.0
building_energy,0.25,Appliances,Wh,6,observed,-74,100.0
building_energy,0.25,Appliances,Wh,6,observed,-73,90.0
building_energy,0.25,Appliances,Wh,6,observed,-72,100.0
building_energy,0.25,Appliances,Wh,6,observed,-71,90.0
building_energy,0.25,Appliances,Wh,6,observed,-70,100.0
building_energy,0.25,Appliances,Wh,6,observed,-69,90.0
building_energy,0.25,Appliances,Wh,6,observed,-68,110.0
building_energy,0.25,Appliances,Wh,6,observed,-67,90.0
building_energy,0.25,Appliances,Wh,6,observed,-66,100.0
building_energy,0.25,Appliances,Wh,6,observed,-65,90.0
building_energy,0.25,Appliances,Wh,6,observed,-64,70.0
building_energy,0.25,Appliances,Wh,6,observed,-63,60.0
building_energy,0.25,Appliances,Wh,6,observed,-62,60.0
building_energy,0.25,Appliances,Wh,6,observed,-61,80.0
building_energy,0.25,Appliances,Wh,6,observed,-60,80.0
building_energy,0.25,Appliances,Wh,6,observed,-59,120.0
building_energy,0.25,Appliances,Wh,6,observed,-58,120.0
building_energy,0.25,Appliances,Wh,6,observed,-57,110.0
building_energy,0.25,Appliances,Wh,6,observed,-56,140.0
building_energy,0.25,Appliances,Wh,6,observed,-55,110.0
building_energy,0.25,Appliances,Wh,6,observed,-54,110.0
building_energy,0.25,Appliances,Wh,6,observed,-53,110.0
building_energy,0.25,Appliances,Wh,6,observed,-52,120.0
building_energy,0.25,Appliances,Wh,6,observed,-51,100.0
building_energy,0.25,Appliances,Wh,6,observed,-50,80.0
building_energy,0.25,Appliances,Wh,6,observed,-49,100.0
building_energy,0.25,Appliances,Wh,6,observed,-48,270.0
