backbone,method,family,seed,system,sd_nmae,sd_nrmse
gtm,gtm,joint,101,building_energy,0.26636759825353656,0.4118055026950516
gtm,gtm,joint,101,hydraulic,0.05944467565120841,0.12609936007828612
gtm,gtm,joint,101,metropt,0.478865445059384,1.0517668854761149
gtm,gtm,joint,101,pmsm,0.06784513261678793,0.16412989153425192
gtm,gtm,joint,101,steel_industry,0.3605191272510465,0.5804249360914623
gtm,gtm_gaugeformer,joint,101,building_energy,0.25622907863636646,0.41229018993935274
gtm,gtm_gaugeformer,joint,101,hydraulic,0.0755726445141109,0.15057248258279873
gtm,gtm_gaugeformer,joint,101,metropt,0.463295372798929,1.0460979611233319
gtm,gtm_gaugeformer,joint,101,pmsm,0.05955658047601218,0.1529360927485334
gtm,gtm_gaugeformer,joint,101,steel_industry,0.34784746355192403,0.5936268274004926
gtm,gtm_no_level_experts,joint,101,building_energy,0.25917655672148565,0.41554830667213793
gtm,gtm_no_level_experts,joint,101,hydraulic,0.07638583001550024,0.15129363357402092
gtm,gtm_no_level_experts,joint,101,metropt,0.46921881078263544,1.0640243477913613
gtm,gtm_no_level_experts,joint,101,pmsm,0.059490173918139204,0.15252084580336212
gtm,gtm_no_level_experts,joint,101,steel_industry,0.3507085831182627,0.5898307395245199
gtm,gtm_no_trend_experts,joint,101,building_energy,0.2595376478267681,0.41190478825214494
gtm,gtm_no_trend_experts,joint,101,hydraulic,0.07547519219824414,0.1505784794560885
gtm,gtm_no_trend_experts,joint,101,metropt,0.46510449528820186,1.0425045899064256
gtm,gtm_no_trend_experts,joint,101,pmsm,0.060281595060952486,0.15428042905020004
gtm,gtm_no_trend_experts,joint,101,steel_industry,0.34784746355192403,0.5936268274004926
gtm,gtm_no_origin_win_guard,joint,101,building_energy,0.2558137836141979,0.41235373699126615
gtm,gtm_no_origin_win_guard,joint,101,hydraulic,0.07555759110885495,0.15055522812961752
gtm,gtm_no_origin_win_guard,joint,101,metropt,0.46377162657094356,1.0494962426919563
gtm,gtm_no_origin_win_guard,joint,101,pmsm,0.05955334871727502,0.1529351396100825
gtm,gtm_no_origin_win_guard,joint,101,steel_industry,0.34784746355192403,0.5936268274004926
gtm,gtm_no_shrinkage,joint,101,building_energy,0.2634439087348295,0.43879482112782403
gtm,gtm_no_shrinkage,joint,101,hydraulic,0.1091717330142297,0.20800465957203512
gtm,gtm_no_shrinkage,joint,101,metropt,0.4693590608608998,1.074438902633173
gtm,gtm_no_shrinkage,joint,101,pmsm,0.05492191202552154,0.15041073420085846
gtm,gtm_no_shrinkage,joint,101,steel_industry,0.34049264023809594,0.651577177553412
gtm,gtm_no_warmup,joint,101,building_energy,0.2548593183595122,0.4113735319229491
gtm,gtm_no_warmup,joint,101,hydraulic,0.07617193002418778,0.1513976078494308
gtm,gtm_no_warmup,joint,101,metropt,0.46325055189078324,1.0464832061453362
gtm,gtm_no_warmup,joint,101,pmsm,0.05954173043601749,0.15293253884465494
gtm,gtm_no_warmup,joint,101,steel_industry,0.348450029396416,0.5955241017470726
gtm,gtm_no_memory,joint,101,building_energy,0.26731120500526306,0.42313737963910086
gtm,gtm_no_memory,joint,101,hydraulic,0.07775585021754901,0.1562147325910948
gtm,gtm_no_memory,joint,101,metropt,0.48607404612448063,1.1077009473630148
gtm,gtm_no_memory,joint,101,pmsm,0.06275449716810362,0.15890879410032047
gtm,gtm_no_memory,joint,101,steel_industry,0.35812221326663635,0.6071763885044527
gtm,gtm,joint,17,building_energy,0.268242113483808,0.41114496683770374
gtm,gtm,joint,17,hydraulic,0.061035205736685805,0.12651565429316644
gtm,gtm,joint,17,metropt,0.4853097846044161,1.0556422804987613
gtm,gtm,joint,17,pmsm,0.06768297691541067,0.16379303635563006
gtm,gtm,joint,17,steel_industry,0.35534451665129296,0.5806956123132937
gtm,gtm_gaugeformer,joint,17,building_energy,0.2569050392681626,0.41063112985071965
gtm,gtm_gaugeformer,joint,17,hydraulic,0.07663302177163278,0.15071747244049138
gtm,gtm_gaugeformer,joint,17,metropt,0.46876392538461664,1.0501031416121325
gtm,gtm_gaugeformer,joint,17,pmsm,0.05949206390852841,0.15266446043654217
gtm,gtm_gaugeformer,joint,17,steel_industry,0.34578879456846334,0.5959965916225405
gtm,gtm_no_level_experts,joint,17,building_energy,0.2602513559281111,0.4139568287399802
gtm,gtm_no_level_experts,joint,17,hydraulic,0.07739696544529838,0.1514385006053445
gtm,gtm_no_level_experts,joint,17,metropt,0.4754827415473545,1.0735926719198527
gtm,gtm_no_level_experts,joint,17,pmsm,0.05941853355325197,0.15224471610509366
gtm,gtm_no_level_experts,joint,17,steel_industry,0.3488577088049841,0.5919427922074849
gtm,gtm_no_trend_experts,joint,17,building_energy,0.2633964504782153,0.41476528805718693
gtm,gtm_no_trend_experts,joint,17,hydraulic,0.07657286262627291,0.15077291003047724
gtm,gtm_no_trend_experts,joint,17,metropt,0.4711737099696543,1.0475519932600217
gtm,gtm_no_trend_experts,joint,17,pmsm,0.060228354339622266,0.15403705819794913
gtm,gtm_no_trend_experts,joint,17,steel_industry,0.34578879456846334,0.5959965916225405
gtm,gtm_no_origin_win_guard,joint,17,building_energy,0.2557277744707487,0.41008348752986296
gtm,gtm_no_origin_win_guard,joint,17,hydraulic,0.07663302177163278,0.15071747244049138
gtm,gtm_no_origin_win_guard,joint,17,metropt,0.4695157342838169,1.0534240638156158
gtm,gtm_no_origin_win_guard,joint,17,pmsm,0.059485287373193314,0.15266073405187516
gtm,gtm_no_origin_win_guard,joint,17,steel_industry,0.34578879456846334,0.5959965916225405
gtm,gtm_no_shrinkage,joint,17,building_energy,0.26462921715809967,0.4389865114458051
gtm,gtm_no_shrinkage,joint,17,hydraulic,0.10914029615249839,0.2080072560679884
gtm,gtm_no_shrinkage,joint,17,metropt,0.4746225101439814,1.085997599888948
gtm,gtm_no_shrinkage,joint,17,pmsm,0.054920375500836,0.1504094914448458
gtm,gtm_no_shrinkage,joint,17,steel_industry,0.3417034101973579,0.6551387975134377
gtm,gtm_no_warmup,joint,17,building_energy,0.2559710335326841,0.41014494211467967
gtm,gtm_no_warmup,joint,17,hydraulic,0.07726625204635532,0.15152661591769204
gtm,gtm_no_warmup,joint,17,metropt,0.46862967456222593,1.050331817030058
gtm,gtm_no_warmup,joint,17,pmsm,0.0594777546867386,0.1526597118690139
gtm,gtm_no_warmup,joint,17,steel_industry,0.3465093463121044,0.5980103537375631
gtm,gtm_no_memory,joint,17,building_energy,0.26860456393000404,0.4225363615440823
gtm,gtm_no_memory,joint,17,hydraulic,0.08007620628228745,0.16496002806752377
gtm,gtm_no_memory,joint,17,metropt,0.48981776437963637,1.111999465099555
gtm,gtm_no_memory,joint,17,pmsm,0.06255942510449548,0.15856649654599875
gtm,gtm_no_memory,joint,17,steel_industry,0.35447656304628394,0.6066744633680601
gtm,gtm,joint,29,building_energy,0.26557315762595496,0.41065242387136713
gtm,gtm,joint,29,hydraulic,0.058091943505034466,0.12401449971785972
gtm,gtm,joint,29,metropt,0.48754275736904434,1.0609608122239371
gtm,gtm,joint,29,pmsm,0.0682120156251597,0.16413807165959107
gtm,gtm,joint,29,steel_industry,0.35926524934190324,0.5801428001815325
gtm,gtm_gaugeformer,joint,29,building_energy,0.2558046082493365,0.41120146143714426
gtm,gtm_gaugeformer,joint,29,hydraulic,0.0752306476295736,0.149790427051856
gtm,gtm_gaugeformer,joint,29,metropt,0.47328830419551454,1.0630551591285566
gtm,gtm_gaugeformer,joint,29,pmsm,0.05972672232211735,0.15290293039322742
gtm,gtm_gaugeformer,joint,29,steel_industry,0.3463608849853112,0.5912541952790967
gtm,gtm_no_level_experts,joint,29,building_energy,0.258882060594857,0.4145036974298418
gtm,gtm_no_level_experts,joint,29,hydraulic,0.0759818771977026,0.1504758149028993
gtm,gtm_no_level_experts,joint,29,metropt,0.4799575453419945,1.0867977877224573
gtm,gtm_no_level_experts,joint,29,pmsm,0.059670062548493184,0.15250592385628495
gtm,gtm_no_level_experts,joint,29,steel_industry,0.3489855346586568,0.5879300677164248
gtm,gtm_no_trend_experts,joint,29,building_energy,0.2626219211510811,0.41533230841758767
gtm,gtm_no_trend_experts,joint,29,hydraulic,0.07513582397691089,0.14980580798671472
gtm,gtm_no_trend_experts,joint,29,metropt,0.4757781935753244,1.0599286173252573
gtm,gtm_no_trend_experts,joint,29,pmsm,0.06046149682353313,0.1542617609980821
gtm,gtm_no_trend_experts,joint,29,steel_industry,0.3463608849853112,0.5912541952790967
gtm,gtm_no_origin_win_guard,joint,29,building_energy,0.255006833223594,0.41075623440623565
gtm,gtm_no_origin_win_guard,joint,29,hydraulic,0.0752306476295736,0.149790427051856
gtm,gtm_no_origin_win_guard,joint,29,metropt,0.4732221065043663,1.064220886791633
gtm,gtm_no_origin_win_guard,joint,29,pmsm,0.059722451820461486,0.15290298694468094
gtm,gtm_no_origin_win_guard,joint,29,steel_industry,0.3463608849853112,0.5912541952790967
gtm,gtm_no_shrinkage,joint,29,building_energy,0.2634251312486977,0.4380696256744455
gtm,gtm_no_shrinkage,joint,29,hydraulic,0.10907511669181104,0.20796024544219188
gtm,gtm_no_shrinkage,joint,29,metropt,0.48325766993863584,1.1104708422532783
gtm,gtm_no_shrinkage,joint,29,pmsm,0.054917247686065464,0.15039966000795893
gtm,gtm_no_shrinkage,joint,29,steel_industry,0.3396628163257635,0.652113189120608
gtm,gtm_no_warmup,joint,29,building_energy,0.2548429631069762,0.41082643960352977
gtm,gtm_no_warmup,joint,29,hydraulic,0.07589175974307985,0.15063853762987542
gtm,gtm_no_warmup,joint,29,metropt,0.47310751032654613,1.0631804138092356
gtm,gtm_no_warmup,joint,29,pmsm,0.05971453429778443,0.152901379339735
gtm,gtm_no_warmup,joint,29,steel_industry,0.34703906914892463,0.5931498110231398
gtm,gtm_no_memory,joint,29,building_energy,0.2673283418801865,0.4226777744481981
gtm,gtm_no_memory,joint,29,hydraulic,0.07865836592384315,0.16491405160826245
gtm,gtm_no_memory,joint,29,metropt,0.490869137745472,1.1161524166155699
gtm,gtm_no_memory,joint,29,pmsm,0.06277725877012723,0.15853430016444817
gtm,gtm_no_memory,joint,29,steel_industry,0.35730170353541846,0.6053892675140983
gtm,gtm,joint,43,building_energy,0.26834910458232203,0.4131427628727894
gtm,gtm,joint,43,hydraulic,0.060776442992768354,0.12937692503041193
gtm,gtm,joint,43,metropt,0.5014578406482848,1.064486813544989
gtm,gtm,joint,43,pmsm,0.067169737535754,0.1628279131657869
gtm,gtm,joint,43,steel_industry,0.3548611484103368,0.5740337073428153
gtm,gtm_gaugeformer,joint,43,building_energy,0.25736204652023037,0.4123857637230535
gtm,gtm_gaugeformer,joint,43,hydraulic,0.07720971510382511,0.15311406101281227
gtm,gtm_gaugeformer,joint,43,metropt,0.47927267430367587,1.0707072698921842
gtm,gtm_gaugeformer,joint,43,pmsm,0.05924793016998215,0.15218919814337448
gtm,gtm_gaugeformer,joint,43,steel_industry,0.3426214744444373,0.5878514790837686
gtm,gtm_no_level_experts,joint,43,building_energy,0.2608041861385102,0.4160902600554971
gtm,gtm_no_level_experts,joint,43,hydraulic,0.07803582083730298,0.1538525770716268
gtm,gtm_no_level_experts,joint,43,metropt,0.48716436764378973,1.1109209854681812
gtm,gtm_no_level_experts,joint,43,pmsm,0.05918848630076403,0.1517995079912474
gtm,gtm_no_level_experts,joint,43,steel_industry,0.34547663783438,0.584826034022207
gtm,gtm_no_trend_experts,joint,43,building_energy,0.2644004396599732,0.4169532233350548
gtm,gtm_no_trend_experts,joint,43,hydraulic,0.07716043662417775,0.15318931121236595
gtm,gtm_no_trend_experts,joint,43,metropt,0.4829653039104679,1.0640344519606004
gtm,gtm_no_trend_experts,joint,43,pmsm,0.059988969556931344,0.15357692445563828
gtm,gtm_no_trend_experts,joint,43,steel_industry,0.3426214744444373,0.5878514790837686
gtm,gtm_no_origin_win_guard,joint,43,building_energy,0.25609408650222704,0.4114148404103513
gtm,gtm_no_origin_win_guard,joint,43,hydraulic,0.07739921509994754,0.15332371474057985
gtm,gtm_no_origin_win_guard,joint,43,metropt,0.4792733249424944,1.072731848130816
gtm,gtm_no_origin_win_guard,joint,43,pmsm,0.059242023979328214,0.15219001872997093
gtm,gtm_no_origin_win_guard,joint,43,steel_industry,0.3426214744444373,0.5878514790837686
gtm,gtm_no_shrinkage,joint,43,building_energy,0.26405636443862074,0.43912440854239565
gtm,gtm_no_shrinkage,joint,43,hydraulic,0.10582048258077201,0.20471996530179418
gtm,gtm_no_shrinkage,joint,43,metropt,0.4863141761439165,1.1426690218210098
gtm,gtm_no_shrinkage,joint,43,pmsm,0.0549137535483857,0.15039741841199272
gtm,gtm_no_shrinkage,joint,43,steel_industry,0.33616980814516245,0.6479255077338788
gtm,gtm_no_warmup,joint,43,building_energy,0.2564995462079686,0.41207025139919795
gtm,gtm_no_warmup,joint,43,hydraulic,0.07786702274699164,0.15393927948575944
gtm,gtm_no_warmup,joint,43,metropt,0.4790385724588318,1.0708369925238872
gtm,gtm_no_warmup,joint,43,pmsm,0.05923730426891077,0.15218462181227307
gtm,gtm_no_warmup,joint,43,steel_industry,0.34327382669631124,0.5899142161129746
gtm,gtm_no_memory,joint,43,building_energy,0.2688948923920684,0.4234014717833298
gtm,gtm_no_memory,joint,43,hydraulic,0.08097370559956174,0.16856322607260918
gtm,gtm_no_memory,joint,43,metropt,0.5021701546902552,1.1203147524678643
gtm,gtm_no_memory,joint,43,pmsm,0.06236468359399625,0.15790392543320406
gtm,gtm_no_memory,joint,43,steel_industry,0.356028942113224,0.6044024698861487
gtm,gtm,joint,71,building_energy,0.2669782849698227,0.40986470412703857
gtm,gtm,joint,71,hydraulic,0.06256886380338925,0.1325270085871248
gtm,gtm,joint,71,metropt,0.5026182019975795,1.0640034939769638
gtm,gtm,joint,71,pmsm,0.0678380302831686,0.16359858223941948
gtm,gtm,joint,71,steel_industry,0.3599095918392729,0.5797215817028031
gtm,gtm_gaugeformer,joint,71,building_energy,0.25599878400034887,0.41118210413405226
gtm,gtm_gaugeformer,joint,71,hydraulic,0.0769387307663153,0.1525114597888106
gtm,gtm_gaugeformer,joint,71,metropt,0.4816971811057874,1.0681611823667774
gtm,gtm_gaugeformer,joint,71,pmsm,0.05955425150927888,0.15262312934759545
gtm,gtm_gaugeformer,joint,71,steel_industry,0.34819792389115517,0.5939007379531516
gtm,gtm_no_level_experts,joint,71,building_energy,0.2593356603255725,0.4146690496757628
gtm,gtm_no_level_experts,joint,71,hydraulic,0.07766398195628789,0.15316715251386842
gtm,gtm_no_level_experts,joint,71,metropt,0.4884098557877626,1.093173780498829
gtm,gtm_no_level_experts,joint,71,pmsm,0.059482608737215004,0.1522022989834861
gtm,gtm_no_level_experts,joint,71,steel_industry,0.351444199770492,0.5906843672606533
gtm,gtm_no_trend_experts,joint,71,building_energy,0.2634704710308336,0.4156539545426265
gtm,gtm_no_trend_experts,joint,71,hydraulic,0.07693210384673498,0.15261875455649523
gtm,gtm_no_trend_experts,joint,71,metropt,0.487632460732245,1.063703912751898
gtm,gtm_no_trend_experts,joint,71,pmsm,0.060298122873175646,0.15401278751304584
gtm,gtm_no_trend_experts,joint,71,steel_industry,0.34819792389115517,0.5939007379531516
gtm,gtm_no_origin_win_guard,joint,71,building_energy,0.2553191806810969,0.4106240704641715
gtm,gtm_no_origin_win_guard,joint,71,hydraulic,0.07689497233563257,0.15244692163761556
gtm,gtm_no_origin_win_guard,joint,71,metropt,0.4804091404076578,1.0700043730160107
gtm,gtm_no_origin_win_guard,joint,71,pmsm,0.05955425150927888,0.15262312934759545
gtm,gtm_no_origin_win_guard,joint,71,steel_industry,0.34819792389115517,0.5939007379531516
gtm,gtm_no_shrinkage,joint,71,building_energy,0.2650648579970865,0.442856499156738
gtm,gtm_no_shrinkage,joint,71,hydraulic,0.1054981497218959,0.20445301980166947
gtm,gtm_no_shrinkage,joint,71,metropt,0.48579528430960667,1.1271499578555684
gtm,gtm_no_shrinkage,joint,71,pmsm,0.05491442667575194,0.1504080873163759
gtm,gtm_no_shrinkage,joint,71,steel_industry,0.34208204436494405,0.6535323396834454
