backbone,method,regime,seed,system,sd_nmae,sd_nrmse
timer_xl,timer_xl_persistence,loso,17,building_energy,0.28397993659446097,0.46773982408574116
timer_xl,timer_xl_persistence,loso,17,hydraulic,0.10601000329040625,0.20605915824834942
timer_xl,timer_xl_persistence,loso,17,metropt,0.5421937055113201,1.323834488228989
timer_xl,timer_xl_persistence,loso,17,pmsm,0.04548985107476749,0.12768617936181392
timer_xl,timer_xl_persistence,loso,17,steel_industry,0.46722325462484815,0.8821150582384071
timer_xl,timer_xl_persistence,loso,29,building_energy,0.28397993659446097,0.46773982408574116
timer_xl,timer_xl_persistence,loso,29,hydraulic,0.10601000329040625,0.20605915824834942
timer_xl,timer_xl_persistence,loso,29,metropt,0.5421937055113201,1.323834488228989
timer_xl,timer_xl_persistence,loso,29,pmsm,0.04548985107476749,0.12768617936181392
timer_xl,timer_xl_persistence,loso,29,steel_industry,0.46722325462484815,0.8821150582384071
timer_xl,timer_xl_persistence,loso,43,building_energy,0.28397993659446097,0.46773982408574116
timer_xl,timer_xl_persistence,loso,43,hydraulic,0.10601000329040625,0.20605915824834942
timer_xl,timer_xl_persistence,loso,43,metropt,0.5421937055113201,1.323834488228989
timer_xl,timer_xl_persistence,loso,43,pmsm,0.04548985107476749,0.12768617936181392
timer_xl,timer_xl_persistence,loso,43,steel_industry,0.46722325462484815,0.8821150582384071
timer_xl,timer_xl_persistence,loso,71,building_energy,0.28397993659446097,0.46773982408574116
timer_xl,timer_xl_persistence,loso,71,hydraulic,0.10601000329040625,0.20605915824834942
timer_xl,timer_xl_persistence,loso,71,metropt,0.5421937055113201,1.323834488228989
timer_xl,timer_xl_persistence,loso,71,pmsm,0.04548985107476749,0.12768617936181392
timer_xl,timer_xl_persistence,loso,71,steel_industry,0.46722325462484815,0.8821150582384071
timer_xl,timer_xl_persistence,loso,101,building_energy,0.28397993659446097,0.46773982408574116
timer_xl,timer_xl_persistence,loso,101,hydraulic,0.10601000329040625,0.20605915824834942
timer_xl,timer_xl_persistence,loso,101,metropt,0.5421937055113201,1.323834488228989
timer_xl,timer_xl_persistence,loso,101,pmsm,0.04548985107476749,0.12768617936181392
timer_xl,timer_xl_persistence,loso,101,steel_industry,0.46722325462484815,0.8821150582384071
timer_xl,timer_xl_history_local,loso,17,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,loso,17,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,loso,17,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,loso,17,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,loso,17,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_history_local,loso,29,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,loso,29,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,loso,29,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,loso,29,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,loso,29,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_history_local,loso,43,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,loso,43,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,loso,43,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,loso,43,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,loso,43,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_history_local,loso,71,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,loso,71,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,loso,71,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,loso,71,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,loso,71,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_history_local,loso,101,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,loso,101,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,loso,101,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,loso,101,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,loso,101,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_persistence_blend,loso,17,building_energy,0.267952349673087,0.43410607173655785
timer_xl,timer_xl_persistence_blend,loso,17,hydraulic,0.20725781808953703,0.2939786053371924
timer_xl,timer_xl_persistence_blend,loso,17,metropt,0.5536641842446315,1.2347675236836655
timer_xl,timer_xl_persistence_blend,loso,17,pmsm,0.04628153834600201,0.12650333315172832
timer_xl,timer_xl_persistence_blend,loso,17,steel_industry,0.49975581715953465,0.8334227765127338
timer_xl,timer_xl_persistence_blend,loso,29,building_energy,0.26719525208695766,0.43281031084956545
timer_xl,timer_xl_persistence_blend,loso,29,hydraulic,0.18496800695238463,0.27233469482686073
timer_xl,timer_xl_persistence_blend,loso,29,metropt,0.5566425249488514,1.2364360304088662
timer_xl,timer_xl_persistence_blend,loso,29,pmsm,0.04648612405760682,0.12692466558087387
timer_xl,timer_xl_persistence_blend,loso,29,steel_industry,0.5015178651250255,0.8341369314423192
timer_xl,timer_xl_persistence_blend,loso,43,building_energy,0.2682283073895695,0.4345019851492167
timer_xl,timer_xl_persistence_blend,loso,43,hydraulic,0.1918357719933128,0.27761523300308427
timer_xl,timer_xl_persistence_blend,loso,43,metropt,0.5684453295174376,1.244964965040554
timer_xl,timer_xl_persistence_blend,loso,43,pmsm,0.04636238114585309,0.12677253828333845
timer_xl,timer_xl_persistence_blend,loso,43,steel_industry,0.4985245380234735,0.8267659585130602
timer_xl,timer_xl_persistence_blend,loso,71,building_energy,0.2679620512706817,0.4332813311692419
timer_xl,timer_xl_persistence_blend,loso,71,hydraulic,0.2087606441601048,0.295700008466973
timer_xl,timer_xl_persistence_blend,loso,71,metropt,0.5595918257408485,1.2450382756891876
timer_xl,timer_xl_persistence_blend,loso,71,pmsm,0.04624827338651385,0.12656346003960764
timer_xl,timer_xl_persistence_blend,loso,71,steel_industry,0.49727479126541285,0.830981637754005
timer_xl,timer_xl_persistence_blend,loso,101,building_energy,0.26948008349552727,0.4361071212446822
timer_xl,timer_xl_persistence_blend,loso,101,hydraulic,0.2034560427199993,0.29130184286529615
timer_xl,timer_xl_persistence_blend,loso,101,metropt,0.5649126615175742,1.2451102942132983
timer_xl,timer_xl_persistence_blend,loso,101,pmsm,0.04620309167585639,0.1264897901191018
timer_xl,timer_xl_persistence_blend,loso,101,steel_industry,0.5032736517771165,0.8287423129125167
timer_xl,timer_xl_history_blend,loso,17,building_energy,0.2564563805096661,0.42414583552338514
timer_xl,timer_xl_history_blend,loso,17,hydraulic,0.20617492945145788,0.292942490692288
timer_xl,timer_xl_history_blend,loso,17,metropt,0.5469906345275853,1.2071532231169326
timer_xl,timer_xl_history_blend,loso,17,pmsm,0.04591716583713825,0.1258543210127774
timer_xl,timer_xl_history_blend,loso,17,steel_industry,0.5021884125899909,0.8445828897131363
timer_xl,timer_xl_history_blend,loso,29,building_energy,0.25595345563806854,0.42248884380790697
timer_xl,timer_xl_history_blend,loso,29,hydraulic,0.1839452894275515,0.27133359199768076
timer_xl,timer_xl_history_blend,loso,29,metropt,0.5504469032331161,1.210843474106932
timer_xl,timer_xl_history_blend,loso,29,pmsm,0.04610814585944748,0.12624840085207864
timer_xl,timer_xl_history_blend,loso,29,steel_industry,0.5039597735894665,0.84558934680135
timer_xl,timer_xl_history_blend,loso,43,building_energy,0.2564924907129613,0.4235503027897566
timer_xl,timer_xl_history_blend,loso,43,hydraulic,0.19077795073630166,0.27659014208462085
timer_xl,timer_xl_history_blend,loso,43,metropt,0.5618648189608711,1.2195638359651484
timer_xl,timer_xl_history_blend,loso,43,pmsm,0.045980986971400295,0.12611721975391563
timer_xl,timer_xl_history_blend,loso,43,steel_industry,0.5011942733290059,0.8387281790568645
timer_xl,timer_xl_history_blend,loso,71,building_energy,0.25629552281555457,0.4225582619612702
timer_xl,timer_xl_history_blend,loso,71,hydraulic,0.2076673252489887,0.2946586726145385
timer_xl,timer_xl_history_blend,loso,71,metropt,0.5528186198525734,1.2176618383547948
timer_xl,timer_xl_history_blend,loso,71,pmsm,0.04588323327394219,0.12593850730567777
timer_xl,timer_xl_history_blend,loso,71,steel_industry,0.49960841337611095,0.8420136079880358
timer_xl,timer_xl_history_blend,loso,101,building_energy,0.2571595274776225,0.42484256081091676
timer_xl,timer_xl_history_blend,loso,101,hydraulic,0.20233370960531588,0.29023500401478786
timer_xl,timer_xl_history_blend,loso,101,metropt,0.5585134071362251,1.2190611312412891
timer_xl,timer_xl_history_blend,loso,101,pmsm,0.04584277431550318,0.12584102639669534
timer_xl,timer_xl_history_blend,loso,101,steel_industry,0.5059747015954049,0.8408141140761695
timer_xl,timer_xl_persistence,joint,17,building_energy,0.28397993659446097,0.46773982408574116
timer_xl,timer_xl_persistence,joint,17,hydraulic,0.10601000329040625,0.20605915824834942
timer_xl,timer_xl_persistence,joint,17,metropt,0.5421937055113201,1.323834488228989
timer_xl,timer_xl_persistence,joint,17,pmsm,0.04548985107476749,0.12768617936181392
timer_xl,timer_xl_persistence,joint,17,steel_industry,0.46722325462484815,0.8821150582384071
timer_xl,timer_xl_persistence,joint,29,building_energy,0.28397993659446097,0.46773982408574116
timer_xl,timer_xl_persistence,joint,29,hydraulic,0.10601000329040625,0.20605915824834942
timer_xl,timer_xl_persistence,joint,29,metropt,0.5421937055113201,1.323834488228989
timer_xl,timer_xl_persistence,joint,29,pmsm,0.04548985107476749,0.12768617936181392
timer_xl,timer_xl_persistence,joint,29,steel_industry,0.46722325462484815,0.8821150582384071
timer_xl,timer_xl_persistence,joint,43,building_energy,0.28397993659446097,0.46773982408574116
timer_xl,timer_xl_persistence,joint,43,hydraulic,0.10601000329040625,0.20605915824834942
timer_xl,timer_xl_persistence,joint,43,metropt,0.5421937055113201,1.323834488228989
timer_xl,timer_xl_persistence,joint,43,pmsm,0.04548985107476749,0.12768617936181392
timer_xl,timer_xl_persistence,joint,43,steel_industry,0.46722325462484815,0.8821150582384071
timer_xl,timer_xl_persistence,joint,71,building_energy,0.28397993659446097,0.46773982408574116
timer_xl,timer_xl_persistence,joint,71,hydraulic,0.10601000329040625,0.20605915824834942
timer_xl,timer_xl_persistence,joint,71,metropt,0.5421937055113201,1.323834488228989
timer_xl,timer_xl_persistence,joint,71,pmsm,0.04548985107476749,0.12768617936181392
timer_xl,timer_xl_persistence,joint,71,steel_industry,0.46722325462484815,0.8821150582384071
timer_xl,timer_xl_persistence,joint,101,building_energy,0.28397993659446097,0.46773982408574116
timer_xl,timer_xl_persistence,joint,101,hydraulic,0.10601000329040625,0.20605915824834942
timer_xl,timer_xl_persistence,joint,101,metropt,0.5421937055113201,1.323834488228989
timer_xl,timer_xl_persistence,joint,101,pmsm,0.04548985107476749,0.12768617936181392
timer_xl,timer_xl_persistence,joint,101,steel_industry,0.46722325462484815,0.8821150582384071
timer_xl,timer_xl_history_local,joint,17,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,joint,17,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,joint,17,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,joint,17,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,joint,17,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_history_local,joint,29,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,joint,29,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,joint,29,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,joint,29,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,joint,29,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_history_local,joint,43,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,joint,43,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,joint,43,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,joint,43,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,joint,43,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_history_local,joint,71,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,joint,71,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,joint,71,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,joint,71,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,joint,71,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_history_local,joint,101,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,joint,101,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,joint,101,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,joint,101,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,joint,101,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_persistence_blend,joint,17,building_energy,0.24126270821911047,0.39516621590921935
timer_xl,timer_xl_persistence_blend,joint,17,hydraulic,0.06154664937637246,0.12502540426379158
timer_xl,timer_xl_persistence_blend,joint,17,metropt,0.43121318300678396,1.0737456354467494
timer_xl,timer_xl_persistence_blend,joint,17,pmsm,0.04464632525717938,0.12431361785785332
timer_xl,timer_xl_persistence_blend,joint,17,steel_industry,0.36073598975935844,0.630383381902661
timer_xl,timer_xl_persistence_blend,joint,29,building_energy,0.24339771394942186,0.3978751194627591
timer_xl,timer_xl_persistence_blend,joint,29,hydraulic,0.06108197649152055,0.12468430410053088
timer_xl,timer_xl_persistence_blend,joint,29,metropt,0.43296997376515695,1.0785176058446573
timer_xl,timer_xl_persistence_blend,joint,29,pmsm,0.04479237543758011,0.1243887283206014
timer_xl,timer_xl_persistence_blend,joint,29,steel_industry,0.3637080756571317,0.6365635922412463
timer_xl,timer_xl_persistence_blend,joint,43,building_energy,0.2422173460333782,0.39501130880297425
timer_xl,timer_xl_persistence_blend,joint,43,hydraulic,0.06235263368885061,0.12640421661822995
timer_xl,timer_xl_persistence_blend,joint,43,metropt,0.4321381383384745,1.0768687232911145
timer_xl,timer_xl_persistence_blend,joint,43,pmsm,0.045071225052279916,0.1247885925797446
