regime,system,seed,block,elements_per_channel,gaugeformer_v13,moirai,gain
few1,building_energy,17,building_energy:segment-0:day-110,120,0.2556394473222202,0.2556394473222202,0.0
few1,building_energy,17,building_energy:segment-0:day-111,144,0.29220356662465885,0.29220356662465885,0.0
few1,building_energy,17,building_energy:segment-0:day-112,144,0.23735495594459388,0.239304868460019,0.0019499125154251173
few1,building_energy,17,building_energy:segment-0:day-113,144,0.2886755953304689,0.2769916149225714,-0.011683980407897476
few1,building_energy,17,building_energy:segment-0:day-114,144,0.23738389171218838,0.23354543485274198,-0.003838456859446393
few1,building_energy,17,building_energy:segment-0:day-115,144,0.26076867681707955,0.2560779814103397,-0.004690695406739831
few1,building_energy,17,building_energy:segment-0:day-116,144,0.26902112129030803,0.2746991869290356,0.005678065638727581
few1,building_energy,17,building_energy:segment-0:day-117,144,0.2529745585625736,0.26542817856634443,0.012453620003770816
few1,building_energy,17,building_energy:segment-0:day-118,144,0.22860593092934967,0.21861417565020203,-0.00999175527914764
few1,building_energy,17,building_energy:segment-0:day-119,144,0.21089295875173855,0.2211824992567695,0.010289540505030947
few1,building_energy,17,building_energy:segment-0:day-120,144,0.2541249133773315,0.2627375635905869,0.008612650213255413
few1,building_energy,17,building_energy:segment-0:day-121,144,0.19505960322415175,0.20571987759306418,0.010660274368912426
few1,building_energy,17,building_energy:segment-0:day-122,144,0.3188017142325875,0.3308228718100613,0.012021157577473796
few1,building_energy,17,building_energy:segment-0:day-123,144,0.2622089149297172,0.25953670580912386,-0.0026722091205933496
few1,building_energy,17,building_energy:segment-0:day-124,144,0.2340730868531527,0.2432655201799123,0.009192433326759591
few1,building_energy,17,building_energy:segment-0:day-125,144,0.25359217143043855,0.2810542804468787,0.02746210901644014
few1,building_energy,17,building_energy:segment-0:day-126,144,0.23285382035136962,0.22802687619613207,-0.004826944155237545
few1,building_energy,17,building_energy:segment-0:day-127,144,0.2842789243552435,0.2829969147275573,-0.0012820096276862092
few1,building_energy,17,building_energy:segment-0:day-128,144,0.19736124086922505,0.2003624905881651,0.0030012497189400578
few1,building_energy,17,building_energy:segment-0:day-129,144,0.2375064466752521,0.24912549786960342,0.011619051194351332
few1,building_energy,17,building_energy:segment-0:day-130,144,0.23066937637641824,0.2299105552591694,-0.0007588211172488424
few1,building_energy,17,building_energy:segment-0:day-131,144,0.1686393236697645,0.16641601467783168,-0.002223308991932821
few1,building_energy,17,building_energy:segment-0:day-132,144,0.20422450526711622,0.2210590481769555,0.016834542909839295
few1,building_energy,17,building_energy:segment-0:day-133,144,0.22074443989645465,0.22803813944255516,0.007293699546100513
few1,building_energy,17,building_energy:segment-0:day-134,144,0.29148334027141387,0.30224715054464546,0.010763810273231589
few1,building_energy,17,building_energy:segment-0:day-135,144,0.27580403483256577,0.270810071612226,-0.004993963220339792
few1,building_energy,17,building_energy:segment-0:day-136,120,0.30308364421711015,0.30484673220399167,0.0017630879868815175
few1,building_energy,29,building_energy:segment-0:day-110,120,0.25658090365757275,0.25658090365757275,0.0
few1,building_energy,29,building_energy:segment-0:day-111,144,0.2924167839438339,0.2924167839438339,0.0
few1,building_energy,29,building_energy:segment-0:day-112,144,0.23819809479583995,0.2393812753938928,0.0011831805980528631
few1,building_energy,29,building_energy:segment-0:day-113,144,0.28420739489884367,0.2736659471012673,-0.010541447797576375
few1,building_energy,29,building_energy:segment-0:day-114,144,0.2373919767676333,0.23193712327789362,-0.005454853489739675
few1,building_energy,29,building_energy:segment-0:day-115,144,0.26087854041053904,0.2541506580462838,-0.006727882364255255
few1,building_energy,29,building_energy:segment-0:day-116,144,0.2701528373005568,0.27329996234717374,0.003147125046616961
few1,building_energy,29,building_energy:segment-0:day-117,144,0.25398712022385506,0.26447189915395425,0.010484778930099192
few1,building_energy,29,building_energy:segment-0:day-118,144,0.22627250811424873,0.2182128105332946,-0.008059697580954123
few1,building_energy,29,building_energy:segment-0:day-119,144,0.2120223279494121,0.22162424318687293,0.009601915237460845
few1,building_energy,29,building_energy:segment-0:day-120,144,0.2534645259124121,0.2605013851610879,0.007036859248675809
few1,building_energy,29,building_energy:segment-0:day-121,144,0.1953492529140893,0.20439648864966178,0.009047235735572479
few1,building_energy,29,building_energy:segment-0:day-122,144,0.3161321923351409,0.3298641423359981,0.013731950000857196
few1,building_energy,29,building_energy:segment-0:day-123,144,0.26423465349890096,0.26018467677210266,-0.004049976726798299
few1,building_energy,29,building_energy:segment-0:day-124,144,0.2328688113963801,0.24122805859080865,0.008359247194428543
