regime,proposed,baseline,gain,ci_lower,ci_upper,p_value,physical_blocks,replicates,holm_p_value
loso,gaugeformer_v13,moirai,0.003705356506019404,0.0027471050465921873,0.004668545560341247,9.99950002499875e-05,798,20000,0.004499775011249437
loso,gaugeformer_v13,unitime,0.3114495396845196,0.3007192455949707,0.3229979838987054,9.99950002499875e-05,798,20000,0.004499775011249437
loso,gaugeformer_v13,timer_xl,0.08988797782502994,0.08643046295512125,0.09335131138556804,9.99950002499875e-05,798,20000,0.004499775011249437
loso,gaugeformer_v13,gtm,0.11713174085220192,0.11115611630139735,0.12354246005071473,9.99950002499875e-05,798,20000,0.004499775011249437
loso,gaugeformer_v13,cpiri,0.3655924949752565,0.3562355164573046,0.3755143474574797,9.99950002499875e-05,798,20000,0.004499775011249437
loso,gaugeformer_v13,tefn,0.19327952736971615,0.18770206345790025,0.19910520713419702,9.99950002499875e-05,798,20000,0.004499775011249437
loso,gaugeformer_v13,tggc,4.77706580382264,4.695526294992614,4.8524241063979225,9.99950002499875e-05,798,20000,0.004499775011249437
loso,timer_xl_gaugeformer,timer_xl,0.04338888451110763,0.04170166066397647,0.045076209960320156,9.99950002499875e-05,798,20000,0.004499775011249437
loso,gtm_gaugeformer,gtm,0.05923524659667717,0.05493042373333752,0.06356169333256508,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.01,gaugeformer_v13,moirai,0.003405707683940107,0.0024700532946556834,0.004344755474777045,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.01,gaugeformer_v13,unitime,0.040764166096933035,0.0357915197740147,0.04587521474553739,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.01,gaugeformer_v13,timer_xl,0.018336605557252198,0.015040344351491666,0.021656317543869458,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.01,gaugeformer_v13,gtm,0.04429547715082088,0.04000016306442803,0.04872591227378372,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.01,gaugeformer_v13,cpiri,0.36030000589717526,0.35015354730224235,0.37117901844281576,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.01,gaugeformer_v13,tefn,0.06257783675858879,0.05765917085589294,0.06770626946418488,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.01,gaugeformer_v13,tggc,4.097288399255456,4.022822597626789,4.167857435841402,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.01,timer_xl_gaugeformer,timer_xl,0.014292636380416087,0.012842454983899642,0.015773264780789432,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.01,gtm_gaugeformer,gtm,0.02479538491269754,0.022644792804371826,0.02701290346300874,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.05,gaugeformer_v13,moirai,0.003319507306939673,0.002350276357263536,0.004288768388894566,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.05,gaugeformer_v13,unitime,0.015839460009635552,0.009487282533260201,0.022487444905555518,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.05,gaugeformer_v13,timer_xl,0.010531942756576079,0.006687250289714974,0.01449468111013377,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.05,gaugeformer_v13,gtm,0.03455024283589084,0.029993054710343543,0.0393488096698898,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.05,gaugeformer_v13,cpiri,0.3505456906672259,0.3351616991433097,0.367902514646087,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.05,gaugeformer_v13,tefn,0.05500795124696733,0.04965874831861716,0.06062273087392664,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.05,gaugeformer_v13,tggc,4.144439277830796,4.072040240051417,4.2149533668621535,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.05,timer_xl_gaugeformer,timer_xl,0.012358285686949029,0.011007378300624761,0.013714031117810506,9.99950002499875e-05,798,20000,0.004499775011249437
fewshot_0.05,gtm_gaugeformer,gtm,0.02093633921332974,0.01881355429708172,0.023107049284838133,9.99950002499875e-05,798,20000,0.004499775011249437
unseen_target,gaugeformer_v13,moirai,0.007256005781687813,0.005998588483652209,0.008472281522654676,9.99950002499875e-05,798,20000,0.004499775011249437
unseen_target,gaugeformer_v13,unitime,0.04251510503663651,0.033993365988998735,0.05180182167760457,9.99950002499875e-05,798,20000,0.004499775011249437
unseen_target,gaugeformer_v13,timer_xl,0.01571892488288621,0.008945955763590741,0.02280710938533461,9.99950002499875e-05,798,20000,0.004499775011249437
unseen_target,gaugeformer_v13,gtm,0.04479240593157147,0.03626449725978687,0.054028771098064775,9.99950002499875e-05,798,20000,0.004499775011249437
unseen_target,gaugeformer_v13,cpiri,0.13088109967356618,0.12044377029651557,0.1415734105719496,9.99950002499875e-05,798,20000,0.004499775011249437
unseen_target,gaugeformer_v13,tefn,0.07774669468668849,0.07108649430465379,0.08481109547874982,9.99950002499875e-05,798,20000,0.004499775011249437
unseen_target,gaugeformer_v13,tggc,0.47543073744738373,0.44733968588366135,0.5053082222386596,9.99950002499875e-05,798,20000,0.004499775011249437
unseen_target,timer_xl_gaugeformer,timer_xl,0.019304746475017977,0.016745239255347467,0.021951142958229582,9.99950002499875e-05,798,20000,0.004499775011249437
unseen_target,gtm_gaugeformer,gtm,0.026519943654251428,0.022986853986063288,0.030329832670797786,9.99950002499875e-05,798,20000,0.004499775011249437
joint,gaugeformer_v13,moirai,0.0006028594102619308,-0.00035423210030558844,0.0015358940071461995,0.21688915554222288,798,20000,0.21688915554222288
joint,gaugeformer_v13,unitime,0.006773743857120504,0.0010695165005857664,0.012687230011204918,0.01929903504824759,798,20000,0.04679766011699415
joint,gaugeformer_v13,timer_xl,-0.05129799585707854,-0.055522570613883826,-0.04708273065364609,9.99950002499875e-05,798,20000,0.004499775011249437
joint,gaugeformer_v13,gtm,-0.00765702180992108,-0.013342150898551225,-0.0015771139415312588,0.01559922003899805,798,20000,0.04679766011699415
joint,gaugeformer_v13,cpiri,0.210345589759109,0.19740978412292026,0.22546829998434176,9.99950002499875e-05,798,20000,0.004499775011249437
joint,gaugeformer_v13,tefn,0.07193230552737043,0.06628550621063327,0.07775978546202988,9.99950002499875e-05,798,20000,0.004499775011249437
joint,gaugeformer_v13,tggc,0.8222470599503126,0.7856009055356742,0.8650125381497809,9.99950002499875e-05,798,20000,0.004499775011249437
joint,timer_xl_gaugeformer,timer_xl,-0.006404596503397717,-0.007813962430034727,-0.005016247390797085,9.99950002499875e-05,798,20000,0.004499775011249437
joint,gtm_gaugeformer,gtm,0.003114879017009299,0.0010577892494445795,0.005257890957655211,0.0014999250037498126,798,20000,0.00599970001499925
