method,backbone,system,batch_size,median_ms,mean_ms,p95_ms,windows_per_second,resident_allocated_mib,total_peak_allocated_mib,incremental_peak_allocated_mib,peak_reserved_mib,backbone_calls_per_window,gpu_uuid,exclusive_checks_before_and_after_every_measurement
gtm,gtm,building_energy,1,19.60832701297477,19.579306698869914,20.658058999106288,51.074331455143835,157.04931640625,159.2841796875,2.23486328125,166.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm_gaugeformer,gtm,building_energy,1,99.83823503716849,104.28107260668185,118.79116767377128,9.589467915924798,157.04931640625,159.3037109375,2.25439453125,166.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm,gtm,building_energy,8,33.84177997941151,31.640444041113366,35.014263782068156,252.84095221940808,157.11572265625,167.365234375,10.24951171875,172.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm_gaugeformer,gtm,building_energy,8,101.60351550439373,103.88139814604074,117.29137943475509,77.01090034188096,157.11572265625,167.59375,10.47802734375,174.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm,gtm,hydraulic,1,27.354123478289694,25.31238535011653,28.882214569603093,39.50635177871122,157.0458984375,158.90380859375,1.85791015625,174.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm_gaugeformer,gtm,hydraulic,1,92.61836396763101,95.60824814834632,105.42861350986641,10.459348637456406,157.0458984375,158.91796875,1.8720703125,174.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm,gtm,hydraulic,8,27.979643986327574,25.910192099399865,29.587301329593174,308.75880693240003,157.08935546875,163.9306640625,6.84130859375,174.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm_gaugeformer,gtm,hydraulic,8,108.8025365024805,109.21642440371215,113.54508086224087,73.24905611658248,157.08935546875,164.0810546875,6.99169921875,174.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm,gtm,metropt,1,31.277755013434216,30.6693085556617,32.50415965158027,32.60588670217657,157.044921875,158.77783203125,1.73291015625,174.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm_gaugeformer,gtm,metropt,1,107.25701300543733,127.58759954303969,195.80582511553078,7.837752286127662,157.044921875,158.787109375,1.7421875,174.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm,gtm,metropt,8,30.42705002008006,29.332410596543923,32.83363636874129,272.7358521615198,157.08056640625,162.9111328125,5.83056640625,174.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm_gaugeformer,gtm,metropt,8,110.6902064930182,115.39895284804516,150.86697969818488,69.32471918124098,157.08056640625,163.0146484375,5.93408203125,174.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm,gtm,pmsm,1,31.459808495128527,28.4747538913507,34.5056659221882,35.118828553027576,157.0439453125,158.69287109375,1.64892578125,174.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm_gaugeformer,gtm,pmsm,1,98.17843601922505,100.90861229982693,114.88283662474714,9.909956912584708,157.0439453125,158.703125,1.6591796875,174.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
