system,seed,method,bin,step,sd_nmae
building_energy,17,moirai,1,1,0.03235453521050732
building_energy,17,moirai,1,2,0.06127016063492168
building_energy,17,moirai,1,3,0.08518682720452433
building_energy,17,moirai,1,4,0.1149969882637636
building_energy,17,moirai,1,5,0.1301566488690121
building_energy,17,moirai,1,6,0.14081159411068175
building_energy,17,moirai,1,7,0.1581419154447601
building_energy,17,moirai,1,8,0.16094420531648362
building_energy,17,moirai,1,9,0.18666097963845152
building_energy,17,moirai,1,10,0.2040078479244558
building_energy,17,moirai,1,11,0.21795899966590873
building_energy,17,moirai,1,12,0.22516617612186396
building_energy,17,moirai,1,13,0.2456853261718934
building_energy,17,moirai,1,14,0.24988567535034784
building_energy,17,moirai,1,15,0.2598900930653959
building_energy,17,moirai,1,16,0.2772019664780357
building_energy,17,moirai,1,17,0.3097380869513281
building_energy,17,moirai,1,18,0.32817294325803587
building_energy,17,moirai,1,19,0.3247208674701021
building_energy,17,moirai,1,20,0.3636252186877602
building_energy,17,moirai,1,21,0.39343635316312464
building_energy,17,moirai,1,22,0.4134291447453941
building_energy,17,moirai,1,23,0.40795913777911397
building_energy,17,moirai,1,24,0.440307357111304
building_energy,17,moirai,2,1,0.03241624545622554
building_energy,17,moirai,2,2,0.05433718007223671
building_energy,17,moirai,2,3,0.0820432402909696
building_energy,17,moirai,2,4,0.12482889369630551
building_energy,17,moirai,2,5,0.15536518984461917
building_energy,17,moirai,2,6,0.17217589342304057
building_energy,17,moirai,2,7,0.18972324615687444
building_energy,17,moirai,2,8,0.25328807714638574
building_energy,17,moirai,2,9,0.2595556441670723
building_energy,17,moirai,2,10,0.28395107100613404
building_energy,17,moirai,2,11,0.2909086845549317
building_energy,17,moirai,2,12,0.3071886239856234
building_energy,17,moirai,2,13,0.3219116752412349
building_energy,17,moirai,2,14,0.33951029059071697
building_energy,17,moirai,2,15,0.34892910647379044
building_energy,17,moirai,2,16,0.3594795920673523
building_energy,17,moirai,2,17,0.39444719987262056
building_energy,17,moirai,2,18,0.39760457113799713
building_energy,17,moirai,2,19,0.39970659505504347
building_energy,17,moirai,2,20,0.40652063317708176
building_energy,17,moirai,2,21,0.41376480813196503
building_energy,17,moirai,2,22,0.4567895583204701
building_energy,17,moirai,2,23,0.4607342797146617
building_energy,17,moirai,2,24,0.4724265867771132
building_energy,17,moirai,3,1,0.04552389353899035
building_energy,17,moirai,3,2,0.06987054330886953
building_energy,17,moirai,3,3,0.08313219435944111
building_energy,17,moirai,3,4,0.10959062765889435
building_energy,17,moirai,3,5,0.14522182850493434
building_energy,17,moirai,3,6,0.17209220516877968
building_energy,17,moirai,3,7,0.1913604709400463
building_energy,17,moirai,3,8,0.21463575143648958
building_energy,17,moirai,3,9,0.22944660620840784
building_energy,17,moirai,3,10,0.23291458191255818
building_energy,17,moirai,3,11,0.2552488444111628
building_energy,17,moirai,3,12,0.2729524496727479
building_energy,17,moirai,3,13,0.2803706702189255
building_energy,17,moirai,3,14,0.2820039597191931
building_energy,17,moirai,3,15,0.2950731966665071
building_energy,17,moirai,3,16,0.30600076499759954
building_energy,17,moirai,3,17,0.32973869731424976
building_energy,17,moirai,3,18,0.3476386627491727
building_energy,17,moirai,3,19,0.37835885095404925
building_energy,17,moirai,3,20,0.38933284669233303
building_energy,17,moirai,3,21,0.4070620296028402
building_energy,17,moirai,3,22,0.41683939965681005
building_energy,17,moirai,3,23,0.4444249194854611
building_energy,17,moirai,3,24,0.48136157562930004
building_energy,17,moirai,4,1,0.0378927499536257
building_energy,17,moirai,4,2,0.058971748335294345
building_energy,17,moirai,4,3,0.08724102640498929
building_energy,17,moirai,4,4,0.08365798762514412
building_energy,17,moirai,4,5,0.10997766132318135
building_energy,17,moirai,4,6,0.1270202254298714
building_energy,17,moirai,4,7,0.130561489387043
building_energy,17,moirai,4,8,0.1488505761314807
building_energy,17,moirai,4,9,0.16548252371141922
building_energy,17,moirai,4,10,0.19743212562111856
building_energy,17,moirai,4,11,0.22178778962195786
building_energy,17,moirai,4,12,0.223558186609026
building_energy,17,moirai,4,13,0.22830071050790826
building_energy,17,moirai,4,14,0.23871097059331634
building_energy,17,moirai,4,15,0.23578923182512163
building_energy,17,moirai,4,16,0.24940599052505344
building_energy,17,moirai,4,17,0.30171894281176787
building_energy,17,moirai,4,18,0.3386298180356616
building_energy,17,moirai,4,19,0.3323087845647984
building_energy,17,moirai,4,20,0.3803055226289042
building_energy,17,moirai,4,21,0.40183698551440206
building_energy,17,moirai,4,22,0.4023122913184799
building_energy,17,moirai,4,23,0.4103104581962622
building_energy,17,moirai,4,24,0.4394359780816657
building_energy,17,moirai,5,1,0.053193524998471936
building_energy,17,moirai,5,2,0.059838305210614076
building_energy,17,moirai,5,3,0.0892914301305187
building_energy,17,moirai,5,4,0.10755787341355198
building_energy,17,moirai,5,5,0.13508683126278
building_energy,17,moirai,5,6,0.15661339485698353
building_energy,17,moirai,5,7,0.1859592557612825
building_energy,17,moirai,5,8,0.22002500006942938
building_energy,17,moirai,5,9,0.2332320365179317
building_energy,17,moirai,5,10,0.23746028097615304
building_energy,17,moirai,5,11,0.2620046929594747
building_energy,17,moirai,5,12,0.2752529131469198
building_energy,17,moirai,5,13,0.29743546772024954
building_energy,17,moirai,5,14,0.34294871591966236
building_energy,17,moirai,5,15,0.3313265461744361
building_energy,17,moirai,5,16,0.3352923275356955
building_energy,17,moirai,5,17,0.35990265105014185
building_energy,17,moirai,5,18,0.38690391085754494
building_energy,17,moirai,5,19,0.3886112992642772
building_energy,17,moirai,5,20,0.42645742619673876
building_energy,17,moirai,5,21,0.4535112882706279
building_energy,17,moirai,5,22,0.45714938877694206
building_energy,17,moirai,5,23,0.47035971561559364
building_energy,17,moirai,5,24,0.47309596805449367
building_energy,17,moirai,6,1,0.05671539321752603
building_energy,17,moirai,6,2,0.08280625064399602
building_energy,17,moirai,6,3,0.10802911021799845
