system,seed,method,bin,first_window,last_window,windows,progress_percent,sd_nmae
building_energy,17,moirai,1,0,7,8,2.5,0.23882121035988207
building_energy,17,moirai,2,8,15,8,7.5,0.2907336202650194
building_energy,17,moirai,3,16,23,8,12.5,0.26584148211699016
building_energy,17,moirai,4,24,31,8,17.5,0.23131249061489556
building_energy,17,moirai,5,32,39,8,22.5,0.28077126019752147
building_energy,17,moirai,6,40,47,8,27.5,0.26857890377582505
building_energy,17,moirai,7,48,55,8,32.5,0.2257164101665321
building_energy,17,moirai,8,56,63,8,37.5,0.2241744571892481
building_energy,17,moirai,9,64,71,8,42.5,0.23771538678312806
building_energy,17,moirai,10,72,79,8,47.5,0.30494816470989944
building_energy,17,moirai,11,80,87,8,52.5,0.24734784992246872
building_energy,17,moirai,12,88,95,8,57.5,0.28757721884287096
building_energy,17,moirai,13,96,103,8,62.5,0.2322170469197161
building_energy,17,moirai,14,104,111,8,67.5,0.24737359029198835
building_energy,17,moirai,15,112,119,8,72.5,0.2548298778711782
building_energy,17,moirai,16,120,127,8,77.5,0.18553152017649857
building_energy,17,moirai,17,128,135,8,82.5,0.2091286915821931
building_energy,17,moirai,18,136,143,8,87.5,0.25618075684035
building_energy,17,moirai,19,144,151,8,92.5,0.25105983998050646
building_energy,17,moirai,20,152,159,8,97.5,0.3268093301363196
building_energy,17,gaugeformer_v13,1,0,7,8,2.5,0.23882121035988207
building_energy,17,gaugeformer_v13,2,8,15,8,7.5,0.29014268409847344
building_energy,17,gaugeformer_v13,3,16,23,8,12.5,0.2795440562240075
building_energy,17,gaugeformer_v13,4,24,31,8,17.5,0.22754650977639565
building_energy,17,gaugeformer_v13,5,32,39,8,22.5,0.2851093905762488
building_energy,17,gaugeformer_v13,6,40,47,8,27.5,0.26787470361653365
building_energy,17,gaugeformer_v13,7,48,55,8,32.5,0.2164016359094972
building_energy,17,gaugeformer_v13,8,56,63,8,37.5,0.2107592672150694
building_energy,17,gaugeformer_v13,9,64,71,8,42.5,0.23391118758830232
building_energy,17,gaugeformer_v13,10,72,79,8,47.5,0.2996648465064734
