study,method,seed,identity,system,condition,replicate,sd_nmae,sd_nrmse
diagnostic,timer_xl,17,building_energy/condition/legal_gauge_canonical_preprocessing/replicate0,building_energy,legal_gauge_canonical_preprocessing,0,0.31611884337060314,0.5458788769833057
diagnostic,timer_xl,17,building_energy/condition/legal_gauge_direct/replicate0,building_energy,legal_gauge_direct,0,0.336499472616984,0.5550546978191325
diagnostic,timer_xl,17,building_energy/condition/reference/replicate0,building_energy,reference,0,0.3161194220594775,0.5458788650573827
diagnostic,timer_xl,17,building_energy/permutation/reference,building_energy,reference,0,0.3025900396756395,0.5030365340501957
diagnostic,timer_xl,17,building_energy/permutation/replicate0,building_energy,permutation,0,0.3071062974380002,0.5071891994155351
diagnostic,timer_xl,17,building_energy/permutation/replicate1,building_energy,permutation,1,0.3140864316533594,0.513572241391417
diagnostic,timer_xl,17,building_energy/permutation/replicate10,building_energy,permutation,10,0.30789762080611394,0.5061533157561611
diagnostic,timer_xl,17,building_energy/permutation/replicate11,building_energy,permutation,11,0.3158765956595395,0.5269097918402774
diagnostic,timer_xl,17,building_energy/permutation/replicate12,building_energy,permutation,12,0.3038100087681085,0.5032445500052162
diagnostic,timer_xl,17,building_energy/permutation/replicate13,building_energy,permutation,13,0.3058429125253583,0.5067244056785565
diagnostic,timer_xl,17,building_energy/permutation/replicate14,building_energy,permutation,14,0.3087126730834647,0.512659225157433
diagnostic,timer_xl,17,building_energy/permutation/replicate15,building_energy,permutation,15,0.3072254158909212,0.5086882491529416
diagnostic,timer_xl,17,building_energy/permutation/replicate16,building_energy,permutation,16,0.3087875896551193,0.5056420140887281
diagnostic,timer_xl,17,building_energy/permutation/replicate17,building_energy,permutation,17,0.3020509435872798,0.506500035146369
diagnostic,timer_xl,17,building_energy/permutation/replicate18,building_energy,permutation,18,0.3102603432224359,0.5231192515199903
diagnostic,timer_xl,17,building_energy/permutation/replicate19,building_energy,permutation,19,0.30415312359804286,0.5040178769986793
diagnostic,timer_xl,17,building_energy/permutation/replicate2,building_energy,permutation,2,0.3147225823427106,0.5212787560492032
diagnostic,timer_xl,17,building_energy/permutation/replicate20,building_energy,permutation,20,0.31741580233731287,0.527224786395192
diagnostic,timer_xl,17,building_energy/permutation/replicate21,building_energy,permutation,21,0.3116000830568411,0.5156527282869183
diagnostic,timer_xl,17,building_energy/permutation/replicate22,building_energy,permutation,22,0.31122028428199566,0.5083856428689516
diagnostic,timer_xl,17,building_energy/permutation/replicate23,building_energy,permutation,23,0.30369092926473035,0.5061351431993071
diagnostic,timer_xl,17,building_energy/permutation/replicate24,building_energy,permutation,24,0.31441170906772964,0.5213826344666075
diagnostic,timer_xl,17,building_energy/permutation/replicate25,building_energy,permutation,25,0.31458862998552595,0.5224209136206663
diagnostic,timer_xl,17,building_energy/permutation/replicate26,building_energy,permutation,26,0.31346990722467505,0.5261300672836179
diagnostic,timer_xl,17,building_energy/permutation/replicate27,building_energy,permutation,27,0.3110928614066031,0.5123265113327211
diagnostic,timer_xl,17,building_energy/permutation/replicate28,building_energy,permutation,28,0.3052489430655138,0.5078364996807117
diagnostic,timer_xl,17,building_energy/permutation/replicate29,building_energy,permutation,29,0.31186869827902297,0.5166815315866281
diagnostic,timer_xl,17,building_energy/permutation/replicate3,building_energy,permutation,3,0.3212365009157387,0.527777182215251
diagnostic,timer_xl,17,building_energy/permutation/replicate30,building_energy,permutation,30,0.31070534353669704,0.5191673691059848
diagnostic,timer_xl,17,building_energy/permutation/replicate31,building_energy,permutation,31,0.3032465608696407,0.5054874888999222
diagnostic,timer_xl,17,building_energy/permutation/replicate32,building_energy,permutation,32,0.312083492355086,0.5144983818799193
diagnostic,timer_xl,17,building_energy/permutation/replicate33,building_energy,permutation,33,0.3021089459424348,0.5037814340746877
diagnostic,timer_xl,17,building_energy/permutation/replicate34,building_energy,permutation,34,0.3146558252743434,0.5273080767321157
diagnostic,timer_xl,17,building_energy/permutation/replicate35,building_energy,permutation,35,0.3049422725086465,0.509711070572811
diagnostic,timer_xl,17,building_energy/permutation/replicate36,building_energy,permutation,36,0.3074908129580327,0.5146031399441279
diagnostic,timer_xl,17,building_energy/permutation/replicate37,building_energy,permutation,37,0.3197717782093617,0.5288164320428764
diagnostic,timer_xl,17,building_energy/permutation/replicate38,building_energy,permutation,38,0.30640344574867023,0.5069596521482099
diagnostic,timer_xl,17,building_energy/permutation/replicate39,building_energy,permutation,39,0.30021240707619434,0.5019196117631682
diagnostic,timer_xl,17,building_energy/permutation/replicate4,building_energy,permutation,4,0.30758850945506894,0.5105222196903878
diagnostic,timer_xl,17,building_energy/permutation/replicate40,building_energy,permutation,40,0.30481128814772573,0.505440375656831
diagnostic,timer_xl,17,building_energy/permutation/replicate41,building_energy,permutation,41,0.31100802009434597,0.5110628699732558
diagnostic,timer_xl,17,building_energy/permutation/replicate42,building_energy,permutation,42,0.30255233147160193,0.5144598314404121
diagnostic,timer_xl,17,building_energy/permutation/replicate43,building_energy,permutation,43,0.31421260192733275,0.5194451447851132
diagnostic,timer_xl,17,building_energy/permutation/replicate44,building_energy,permutation,44,0.30897108432078224,0.5092224824861014
diagnostic,timer_xl,17,building_energy/permutation/replicate45,building_energy,permutation,45,0.31454154150061725,0.5228599454508198
diagnostic,timer_xl,17,building_energy/permutation/replicate46,building_energy,permutation,46,0.30947314494643474,0.5126429334818995
diagnostic,timer_xl,17,building_energy/permutation/replicate47,building_energy,permutation,47,0.3163713719810251,0.5175111396785574
diagnostic,timer_xl,17,building_energy/permutation/replicate48,building_energy,permutation,48,0.314076003304012,0.513295104016489
diagnostic,timer_xl,17,building_energy/permutation/replicate49,building_energy,permutation,49,0.3049357194170221,0.5074042606976124
diagnostic,timer_xl,17,building_energy/permutation/replicate5,building_energy,permutation,5,0.30583827924474505,0.5102059325423708
diagnostic,timer_xl,17,building_energy/permutation/replicate50,building_energy,permutation,50,0.3130626229335409,0.5164721507413312
diagnostic,timer_xl,17,building_energy/permutation/replicate51,building_energy,permutation,51,0.30490684652642175,0.5100498229444315
diagnostic,timer_xl,17,building_energy/permutation/replicate52,building_energy,permutation,52,0.31108589614954485,0.5156421876544125
diagnostic,timer_xl,17,building_energy/permutation/replicate53,building_energy,permutation,53,0.3063167699589663,0.5091657444867193
diagnostic,timer_xl,17,building_energy/permutation/replicate54,building_energy,permutation,54,0.30594691891522946,0.5057697592012439
diagnostic,timer_xl,17,building_energy/permutation/replicate55,building_energy,permutation,55,0.30344883167867986,0.5038400962468874
diagnostic,timer_xl,17,building_energy/permutation/replicate56,building_energy,permutation,56,0.3190169508042185,0.527820043090024
diagnostic,timer_xl,17,building_energy/permutation/replicate57,building_energy,permutation,57,0.30500140809190857,0.5069317735611891
diagnostic,timer_xl,17,building_energy/permutation/replicate58,building_energy,permutation,58,0.3069817674303798,0.5084912631811057
diagnostic,timer_xl,17,building_energy/permutation/replicate59,building_energy,permutation,59,0.3081290035923081,0.5113190313277662
diagnostic,timer_xl,17,building_energy/permutation/replicate6,building_energy,permutation,6,0.3138426687073758,0.5179039467945358
diagnostic,timer_xl,17,building_energy/permutation/replicate60,building_energy,permutation,60,0.3069933540644313,0.5074466692163325
diagnostic,timer_xl,17,building_energy/permutation/replicate61,building_energy,permutation,61,0.30923030520960826,0.5187786901099013
