row,method,value,units
diagnostic:0,timer_xl_gaugeformer,469.36025472947307,percent
diagnostic:1,timer_xl_gaugeformer,-2.6954755287800225e-05,percent
diagnostic:2,timer_xl_gaugeformer,10821.749114990234,percent
diagnostic:0,gtm_gaugeformer,6080.321647888965,percent
diagnostic:1,gtm_gaugeformer,-5.943910027728094e-05,percent
diagnostic:2,gtm_gaugeformer,0.0,percent
development:reference,unitime,0.2596573887437629,SD-NMAE
development:legal_gauge_direct,unitime,0.6357076596869822,SD-NMAE
development:legal_gauge_canonical_preprocessing,unitime,0.259657414682923,SD-NMAE
development:permutation,unitime,0.2596573887437629,SD-NMAE
development:deletion_30,unitime,0.37955760259311816,SD-NMAE
development:deletion_50,unitime,0.37955760259311816,SD-NMAE
development:insertion_1,unitime,0.2596573894248632,SD-NMAE
development:insertion_4,unitime,0.2596573883083696,SD-NMAE
development:reference,cpiri,0.28253362560635525,SD-NMAE
development:legal_gauge_direct,cpiri,12841.078236566724,SD-NMAE
development:legal_gauge_canonical_preprocessing,cpiri,0.28253361164980667,SD-NMAE
development:permutation,cpiri,0.2827421829382523,SD-NMAE
development:deletion_30,cpiri,0.2910422719755137,SD-NMAE
development:deletion_50,cpiri,0.29113273642188914,SD-NMAE
development:insertion_1,cpiri,0.2828411433581579,SD-NMAE
development:insertion_4,cpiri,0.28535040359093733,SD-NMAE
