backbone,variant,seed,system,condition,replicate,sd_nmae,sd_nrmse,mae_relative_change,mean_sd_normalized_prediction_change,no_op_deletion
gtm,raw,101,building_energy,reference,rep0,0.27122055981160964,0.419760750984816,0.0,0.0,False
gtm,full,101,building_energy,reference,rep0,0.26008840173010744,0.4192348493999946,0.0,0.0,False
gtm,raw,101,building_energy,legal_gauge_direct,rep0,0.2941202668433792,0.44009353151618513,8.443204692032102,0.053695555288603924,False
gtm,full,101,building_energy,legal_gauge_direct,rep0,0.27201434536984065,0.42721330533597884,4.585342352985311,0.033634634744939204,False
gtm,raw,101,building_energy,legal_gauge_canonical_preprocessing,rep0,0.2712206147573469,0.41976070444598385,2.0258691768582082e-05,2.3263887719330063e-06,False
gtm,full,101,building_energy,legal_gauge_canonical_preprocessing,rep0,0.26008845777060013,0.41923483580356385,2.1546709616515614e-05,3.3743286195314075e-06,False
gtm,raw,101,building_energy,permutation,rep0,0.27122055981160964,0.419760750984816,0.0,0.0,False
gtm,full,101,building_energy,permutation,rep0,0.26008840173010744,0.4192348493999946,0.0,0.0,False
gtm,raw,101,building_energy,deletion_30,rep0,0.27122055981160964,0.419760750984816,0.0,0.0,True
gtm,full,101,building_energy,deletion_30,rep0,0.26008840173010744,0.4192348493999946,0.0,0.0,True
gtm,raw,101,building_energy,deletion_50,rep0,0.27122055981160964,0.419760750984816,0.0,0.0,True
gtm,full,101,building_energy,deletion_50,rep0,0.26008840173010744,0.4192348493999946,0.0,0.0,True
gtm,raw,101,building_energy,insertion_1,rep0,0.27122055981160964,0.419760750984816,0.0,0.0,False
gtm,full,101,building_energy,insertion_1,rep0,0.26008840173010744,0.4192348493999946,0.0,0.0,False
gtm,raw,101,building_energy,insertion_4,rep0,0.27122060836737155,0.4197608372204305,1.7902684801285318e-05,6.311872806108185e-07,False
gtm,full,101,building_energy,insertion_4,rep0,0.2600884264601244,0.41923490625226656,9.508312093231552e-06,3.8664111991340445e-07,False
gtm,raw,101,building_energy,permutation,rep1,0.27122055981160964,0.419760750984816,0.0,0.0,False
gtm,full,101,building_energy,permutation,rep1,0.26008840173010744,0.4192348493999946,0.0,0.0,False
gtm,raw,101,building_energy,deletion_30,rep1,0.27122055981160964,0.419760750984816,0.0,0.0,True
gtm,full,101,building_energy,deletion_30,rep1,0.26008840173010744,0.4192348493999946,0.0,0.0,True
gtm,raw,101,building_energy,deletion_50,rep1,0.27122055981160964,0.419760750984816,0.0,0.0,True
gtm,full,101,building_energy,deletion_50,rep1,0.26008840173010744,0.4192348493999946,0.0,0.0,True
gtm,raw,101,building_energy,insertion_1,rep1,0.27122055981160964,0.419760750984816,0.0,0.0,False
gtm,full,101,building_energy,insertion_1,rep1,0.26008840173010744,0.4192348493999946,0.0,0.0,False
gtm,raw,101,building_energy,insertion_4,rep1,0.27122060836737155,0.4197608372204305,1.7902684801285318e-05,6.311872806108185e-07,False
gtm,full,101,building_energy,insertion_4,rep1,0.2600884264601244,0.41923490625226656,9.508312093231552e-06,3.8664111991340445e-07,False
gtm,raw,101,building_energy,permutation,rep2,0.27122055981160964,0.419760750984816,0.0,0.0,False
gtm,full,101,building_energy,permutation,rep2,0.26008840173010744,0.4192348493999946,0.0,0.0,False
gtm,raw,101,building_energy,deletion_30,rep2,0.27122055981160964,0.419760750984816,0.0,0.0,True
gtm,full,101,building_energy,deletion_30,rep2,0.26008840173010744,0.4192348493999946,0.0,0.0,True
gtm,raw,101,building_energy,deletion_50,rep2,0.27122055981160964,0.419760750984816,0.0,0.0,True
gtm,full,101,building_energy,deletion_50,rep2,0.26008840173010744,0.4192348493999946,0.0,0.0,True
gtm,raw,101,building_energy,insertion_1,rep2,0.27122055981160964,0.419760750984816,0.0,0.0,False
gtm,full,101,building_energy,insertion_1,rep2,0.26008840173010744,0.4192348493999946,0.0,0.0,False
gtm,raw,101,building_energy,insertion_4,rep2,0.27122060836737155,0.4197608372204305,1.7902684801285318e-05,6.311872806108185e-07,False
gtm,full,101,building_energy,insertion_4,rep2,0.2600884264601244,0.41923490625226656,9.508312093231552e-06,3.8664111991340445e-07,False
gtm,raw,101,hydraulic,reference,rep0,0.05638584296154989,0.1142186268347635,0.0,0.0,False
gtm,full,101,hydraulic,reference,rep0,0.07036335037774849,0.1339849283455051,0.0,0.0,False
gtm,raw,101,hydraulic,legal_gauge_direct,rep0,18.905282880531626,19.659571095078917,33428.42112056982,18.861169335231093,False
gtm,full,101,hydraulic,legal_gauge_direct,rep0,10.579254368613475,11.464404263520423,14935.177136703012,10.53488166303688,False
gtm,raw,101,hydraulic,legal_gauge_canonical_preprocessing,rep0,0.05638585626958321,0.11421864182065448,2.360172806081806e-05,4.408151852540864e-07,False
gtm,full,101,hydraulic,legal_gauge_canonical_preprocessing,rep0,0.07036332076506277,0.1339848851378726,-4.20853833116297e-05,6.956166618909659e-07,False
gtm,raw,101,hydraulic,permutation,rep0,0.05638584296154989,0.1142186268347635,0.0,0.0,False
gtm,full,101,hydraulic,permutation,rep0,0.07036335037774849,0.1339849283455051,0.0,0.0,False
gtm,raw,101,hydraulic,deletion_30,rep0,0.05638584296154989,0.1142186268347635,0.0,0.0,True
gtm,full,101,hydraulic,deletion_30,rep0,0.07036335037774849,0.1339849283455051,0.0,0.0,True
gtm,raw,101,hydraulic,deletion_50,rep0,0.05638584296154989,0.1142186268347635,0.0,0.0,True
gtm,full,101,hydraulic,deletion_50,rep0,0.07036335037774849,0.1339849283455051,0.0,0.0,True
gtm,raw,101,hydraulic,insertion_1,rep0,0.05638584296154989,0.1142186268347635,0.0,0.0,False
gtm,full,101,hydraulic,insertion_1,rep0,0.07036335037774849,0.1339849283455051,0.0,0.0,False
gtm,raw,101,hydraulic,insertion_4,rep0,0.05638584296154989,0.1142186268347635,0.0,0.0,False
gtm,full,101,hydraulic,insertion_4,rep0,0.07036335037774849,0.1339849283455051,0.0,0.0,False
gtm,raw,101,hydraulic,permutation,rep1,0.05638584296154989,0.1142186268347635,0.0,0.0,False
gtm,full,101,hydraulic,permutation,rep1,0.07036335037774849,0.1339849283455051,0.0,0.0,False
gtm,raw,101,hydraulic,deletion_30,rep1,0.05638584296154989,0.1142186268347635,0.0,0.0,True
gtm,full,101,hydraulic,deletion_30,rep1,0.07036335037774849,0.1339849283455051,0.0,0.0,True
gtm,raw,101,hydraulic,deletion_50,rep1,0.05638584296154989,0.1142186268347635,0.0,0.0,True
gtm,full,101,hydraulic,deletion_50,rep1,0.07036335037774849,0.1339849283455051,0.0,0.0,True
gtm,raw,101,hydraulic,insertion_1,rep1,0.05638584296154989,0.1142186268347635,0.0,0.0,False
gtm,full,101,hydraulic,insertion_1,rep1,0.07036335037774849,0.1339849283455051,0.0,0.0,False
gtm,raw,101,hydraulic,insertion_4,rep1,0.05638584296154989,0.1142186268347635,0.0,0.0,False
gtm,full,101,hydraulic,insertion_4,rep1,0.07036335037774849,0.1339849283455051,0.0,0.0,False
gtm,raw,101,hydraulic,permutation,rep2,0.05638584296154989,0.1142186268347635,0.0,0.0,False
gtm,full,101,hydraulic,permutation,rep2,0.07036335037774849,0.1339849283455051,0.0,0.0,False
gtm,raw,101,hydraulic,deletion_30,rep2,0.05638584296154989,0.1142186268347635,0.0,0.0,True
gtm,full,101,hydraulic,deletion_30,rep2,0.07036335037774849,0.1339849283455051,0.0,0.0,True
gtm,raw,101,hydraulic,deletion_50,rep2,0.05638584296154989,0.1142186268347635,0.0,0.0,True
gtm,full,101,hydraulic,deletion_50,rep2,0.07036335037774849,0.1339849283455051,0.0,0.0,True
gtm,raw,101,hydraulic,insertion_1,rep2,0.05638584296154989,0.1142186268347635,0.0,0.0,False
gtm,full,101,hydraulic,insertion_1,rep2,0.07036335037774849,0.1339849283455051,0.0,0.0,False
gtm,raw,101,hydraulic,insertion_4,rep2,0.05638584296154989,0.1142186268347635,0.0,0.0,False
gtm,full,101,hydraulic,insertion_4,rep2,0.07036335037774849,0.1339849283455051,0.0,0.0,False
gtm,raw,101,metropt,reference,rep0,0.4444072231062542,0.9450396043289644,0.0,0.0,False
gtm,full,101,metropt,reference,rep0,0.43769829000206395,0.9567477301071339,0.0,0.0,False
gtm,raw,101,metropt,legal_gauge_direct,rep0,0.44440601744167235,0.9450483586516487,-0.0002712972515195311,3.536436139290378e-05,False
gtm,full,101,metropt,legal_gauge_direct,rep0,0.43769779444240475,0.9567557565167297,-0.00011321946430387086,2.79563401442832e-05,False
gtm,raw,101,metropt,legal_gauge_canonical_preprocessing,rep0,0.44440723235350266,0.9450395853602741,2.080805172610667e-06,4.797516819461534e-07,False
gtm,full,101,metropt,legal_gauge_canonical_preprocessing,rep0,0.4376983052377179,0.9567477305396472,3.4808575577471856e-06,5.28328450370041e-07,False
gtm,raw,101,metropt,permutation,rep0,0.4444072231062542,0.9450396043289644,0.0,0.0,False
gtm,full,101,metropt,permutation,rep0,0.43769829000206395,0.9567477301071339,0.0,0.0,False
gtm,raw,101,metropt,deletion_30,rep0,0.4444072106542052,0.9450395806547712,-2.8019456865813197e-06,7.078235761773142e-07,False
gtm,full,101,metropt,deletion_30,rep0,0.4376982827981917,0.9567477051432015,-1.6458534202179465e-06,6.152709525404605e-07,False
gtm,raw,101,metropt,deletion_50,rep0,0.4444072106542052,0.9450395806547712,-2.8019456865813197e-06,7.078235761773142e-07,False
gtm,full,101,metropt,deletion_50,rep0,0.4376982827981917,0.9567477051432015,-1.6458534202179465e-06,6.152709525404605e-07,False
gtm,raw,101,metropt,insertion_1,rep0,0.44440722042919195,0.9450396038751077,-6.023894494333604e-07,1.5789668416847876e-07,False
gtm,full,101,metropt,insertion_1,rep0,0.4376982879795703,0.9567477295044451,-4.6207484505345064e-07,1.3787425972071606e-07,False
gtm,raw,101,metropt,insertion_4,rep0,0.4444072231062542,0.9450396043289644,0.0,0.0,False
gtm,full,101,metropt,insertion_4,rep0,0.43769829000206395,0.9567477301071339,0.0,0.0,False
gtm,raw,101,metropt,permutation,rep1,0.4444072231062542,0.9450396043289644,0.0,0.0,False
gtm,full,101,metropt,permutation,rep1,0.43769829000206395,0.9567477301071339,0.0,0.0,False
gtm,raw,101,metropt,deletion_30,rep1,0.4444072106542052,0.9450395806547712,-2.8019456865813197e-06,7.078235761773142e-07,False
gtm,full,101,metropt,deletion_30,rep1,0.4376982827981917,0.9567477051432015,-1.6458534202179465e-06,6.152709525404605e-07,False
gtm,raw,101,metropt,deletion_50,rep1,0.4444072106542052,0.9450395806547712,-2.8019456865813197e-06,7.078235761773142e-07,False
gtm,full,101,metropt,deletion_50,rep1,0.4376982827981917,0.9567477051432015,-1.6458534202179465e-06,6.152709525404605e-07,False
gtm,raw,101,metropt,insertion_1,rep1,0.44440722042919195,0.9450396038751077,-6.023894494333604e-07,1.5789668416847876e-07,False
gtm,full,101,metropt,insertion_1,rep1,0.4376982879795703,0.9567477295044451,-4.6207484505345064e-07,1.3787425972071606e-07,False
gtm,raw,101,metropt,insertion_4,rep1,0.4444072231062542,0.9450396043289644,0.0,0.0,False
gtm,full,101,metropt,insertion_4,rep1,0.43769829000206395,0.9567477301071339,0.0,0.0,False
gtm,raw,101,metropt,permutation,rep2,0.4444072231062542,0.9450396043289644,0.0,0.0,False
gtm,full,101,metropt,permutation,rep2,0.43769829000206395,0.9567477301071339,0.0,0.0,False
gtm,raw,101,metropt,deletion_30,rep2,0.4444072106542052,0.9450395806547712,-2.8019456865813197e-06,7.078235761773142e-07,False
gtm,full,101,metropt,deletion_30,rep2,0.4376982827981917,0.9567477051432015,-1.6458534202179465e-06,6.152709525404605e-07,False
gtm,raw,101,metropt,deletion_50,rep2,0.4444072106542052,0.9450395806547712,-2.8019456865813197e-06,7.078235761773142e-07,False
gtm,full,101,metropt,deletion_50,rep2,0.4376982827981917,0.9567477051432015,-1.6458534202179465e-06,6.152709525404605e-07,False
gtm,raw,101,metropt,insertion_1,rep2,0.44440722042919195,0.9450396038751077,-6.023894494333604e-07,1.5789668416847876e-07,False
gtm,full,101,metropt,insertion_1,rep2,0.4376982879795703,0.9567477295044451,-4.6207484505345064e-07,1.3787425972071606e-07,False
gtm,raw,101,metropt,insertion_4,rep2,0.4444072231062542,0.9450396043289644,0.0,0.0,False
gtm,full,101,metropt,insertion_4,rep2,0.43769829000206395,0.9567477301071339,0.0,0.0,False
gtm,raw,101,pmsm,reference,rep0,0.05877908366087998,0.15159850335741057,0.0,0.0,False
gtm,full,101,pmsm,reference,rep0,0.051987552479664766,0.14315974145331387,0.0,0.0,False
gtm,raw,101,pmsm,legal_gauge_direct,rep0,0.2690061612543757,0.35935119783455244,357.65626903335163,0.21770957227737955,False
gtm,full,101,pmsm,legal_gauge_direct,rep0,0.16907958080054553,0.2598754792296911,225.23089227307244,0.12576707368464105,False
gtm,raw,101,pmsm,legal_gauge_canonical_preprocessing,rep0,0.05877907195924995,0.15159848400718964,-1.990781294258781e-05,3.5688040014980834e-07,False
gtm,full,101,pmsm,legal_gauge_canonical_preprocessing,rep0,0.05198749923301658,0.14315967737009286,-0.00010242191764708863,7.67126339559008e-07,False
gtm,raw,101,pmsm,permutation,rep0,0.05877908366087998,0.15159850335741057,0.0,0.0,False
gtm,full,101,pmsm,permutation,rep0,0.051987552479664766,0.14315974145331387,0.0,0.0,False
gtm,raw,101,pmsm,deletion_30,rep0,0.05877908366087998,0.15159850335741057,0.0,0.0,True
gtm,full,101,pmsm,deletion_30,rep0,0.051987552479664766,0.14315974145331387,0.0,0.0,True
gtm,raw,101,pmsm,deletion_50,rep0,0.05877908366087998,0.15159850335741057,0.0,0.0,True
gtm,full,101,pmsm,deletion_50,rep0,0.051987552479664766,0.14315974145331387,0.0,0.0,True
gtm,raw,101,pmsm,insertion_1,rep0,0.058779082216040134,0.1515985028836735,-2.458085013312683e-06,1.583046297699582e-08,False
gtm,full,101,pmsm,insertion_1,rep0,0.05198755160251941,0.1431597418638393,-1.687221873325484e-06,9.076694591357176e-09,False
gtm,raw,101,pmsm,insertion_4,rep0,0.05877908366087998,0.15159850335741057,0.0,0.0,False
gtm,full,101,pmsm,insertion_4,rep0,0.051987552479664766,0.14315974145331387,0.0,0.0,False
gtm,raw,101,pmsm,permutation,rep1,0.05877908366087998,0.15159850335741057,0.0,0.0,False
gtm,full,101,pmsm,permutation,rep1,0.051987552479664766,0.14315974145331387,0.0,0.0,False
gtm,raw,101,pmsm,deletion_30,rep1,0.05877908366087998,0.15159850335741057,0.0,0.0,True
gtm,full,101,pmsm,deletion_30,rep1,0.051987552479664766,0.14315974145331387,0.0,0.0,True
gtm,raw,101,pmsm,deletion_50,rep1,0.05877908366087998,0.15159850335741057,0.0,0.0,True
gtm,full,101,pmsm,deletion_50,rep1,0.051987552479664766,0.14315974145331387,0.0,0.0,True
gtm,raw,101,pmsm,insertion_1,rep1,0.058779082216040134,0.1515985028836735,-2.458085013312683e-06,1.583046297699582e-08,False
gtm,full,101,pmsm,insertion_1,rep1,0.05198755160251941,0.1431597418638393,-1.687221873325484e-06,9.076694591357176e-09,False
gtm,raw,101,pmsm,insertion_4,rep1,0.05877908366087998,0.15159850335741057,0.0,0.0,False
gtm,full,101,pmsm,insertion_4,rep1,0.051987552479664766,0.14315974145331387,0.0,0.0,False
