method,system,condition,relative_change
gaugeformer_v13,building_energy,reference,0.0
gaugeformer_v13,building_energy,legal_gauge_direct,-0.10257581012094175
gaugeformer_v13,building_energy,legal_gauge_canonical_preprocessing,0.0027818190828199363
gaugeformer_v13,building_energy,deletion_10,0.05639684253917476
gaugeformer_v13,building_energy,deletion_10,-0.01239272120802104
gaugeformer_v13,building_energy,deletion_10,0.010966339429718808
gaugeformer_v13,building_energy,deletion_30,0.2621535523704033
gaugeformer_v13,building_energy,deletion_30,-0.12776120009343472
gaugeformer_v13,building_energy,deletion_30,-0.4313287854313841
gaugeformer_v13,building_energy,deletion_50,-0.15953325264322915
gaugeformer_v13,building_energy,deletion_50,1.1248990789211932
gaugeformer_v13,building_energy,deletion_50,-0.23345185986648476
gaugeformer_v13,building_energy,insertion_1,-0.8712765726345606
gaugeformer_v13,building_energy,insertion_1,-0.9770603869657557
gaugeformer_v13,building_energy,insertion_1,-1.1482556375552955
gaugeformer_v13,building_energy,insertion_2,-1.2004924278590567
gaugeformer_v13,building_energy,insertion_2,-1.4678372389532623
gaugeformer_v13,building_energy,insertion_2,-1.1324001958125107
gaugeformer_v13,building_energy,insertion_4,-1.4220208743537355
gaugeformer_v13,building_energy,insertion_4,-1.5298164633660738
gaugeformer_v13,building_energy,insertion_4,-1.4839662542496135
gaugeformer_v13,hydraulic,reference,0.0
gaugeformer_v13,hydraulic,legal_gauge_direct,16.920983289378967
gaugeformer_v13,hydraulic,legal_gauge_canonical_preprocessing,16.920866512714806
gaugeformer_v13,hydraulic,deletion_10,0.3938345918197417
gaugeformer_v13,hydraulic,deletion_10,-0.5214173013810552
gaugeformer_v13,hydraulic,deletion_10,0.4352093658329892
gaugeformer_v13,hydraulic,deletion_30,-1.0796695180389948
gaugeformer_v13,hydraulic,deletion_30,-0.4496628828417504
gaugeformer_v13,hydraulic,deletion_30,-0.8335343929377181
gaugeformer_v13,hydraulic,deletion_50,-0.6684099415226963
gaugeformer_v13,hydraulic,deletion_50,-0.5534672764179516
gaugeformer_v13,hydraulic,deletion_50,-0.04728227523794759
gaugeformer_v13,hydraulic,insertion_1,0.16863678569214446
gaugeformer_v13,hydraulic,insertion_1,-0.09690056408733216
gaugeformer_v13,hydraulic,insertion_1,0.032716221140938195
gaugeformer_v13,hydraulic,insertion_2,-0.4078629099921294
gaugeformer_v13,hydraulic,insertion_2,0.21635191496376383
gaugeformer_v13,hydraulic,insertion_2,-0.267368910693655
gaugeformer_v13,hydraulic,insertion_4,-0.9662208852043719
gaugeformer_v13,hydraulic,insertion_4,-0.35540175765205184
gaugeformer_v13,hydraulic,insertion_4,0.2249182049898435
gaugeformer_v13,metropt,reference,0.0
gaugeformer_v13,metropt,legal_gauge_direct,-0.30009827412489365
gaugeformer_v13,metropt,legal_gauge_canonical_preprocessing,-0.30838592050888014
gaugeformer_v13,metropt,deletion_10,-0.1543282994110884
gaugeformer_v13,metropt,deletion_10,-0.39603097753284633
gaugeformer_v13,metropt,deletion_10,0.0956837718729231
gaugeformer_v13,metropt,deletion_30,-0.26921218791251533
gaugeformer_v13,metropt,deletion_30,0.046990519599132696
gaugeformer_v13,metropt,deletion_30,-0.3423852926985993
gaugeformer_v13,metropt,deletion_50,0.8229713420462526
gaugeformer_v13,metropt,deletion_50,0.7596941947293434
gaugeformer_v13,metropt,deletion_50,0.8266178737111884
gaugeformer_v13,metropt,insertion_1,0.36156243671838784
gaugeformer_v13,metropt,insertion_1,0.23062878278254928
gaugeformer_v13,metropt,insertion_1,0.3314476931301824
gaugeformer_v13,metropt,insertion_2,0.4666023234943584
gaugeformer_v13,metropt,insertion_2,0.507859622918927
gaugeformer_v13,metropt,insertion_2,0.45827855891860114
gaugeformer_v13,metropt,insertion_4,0.8408974788864265
gaugeformer_v13,metropt,insertion_4,0.9985768856881405
gaugeformer_v13,metropt,insertion_4,0.9746006436250676
gaugeformer_v13,pmsm,reference,0.0
gaugeformer_v13,pmsm,legal_gauge_direct,0.0392592928111668
gaugeformer_v13,pmsm,legal_gauge_canonical_preprocessing,0.020353544191253903
gaugeformer_v13,pmsm,deletion_10,-0.23153979279745274
gaugeformer_v13,pmsm,deletion_10,-0.44400583506364333
gaugeformer_v13,pmsm,deletion_10,0.21129265807695585
gaugeformer_v13,pmsm,deletion_30,0.6754241129909078
gaugeformer_v13,pmsm,deletion_30,0.1880199757767098
gaugeformer_v13,pmsm,deletion_30,0.8053224897046185
gaugeformer_v13,pmsm,deletion_50,0.488065221613021
gaugeformer_v13,pmsm,deletion_50,0.8950296268775748
gaugeformer_v13,pmsm,deletion_50,0.12000573518051727
gaugeformer_v13,pmsm,insertion_1,0.1473307885597963
gaugeformer_v13,pmsm,insertion_1,0.24022719807235138
gaugeformer_v13,pmsm,insertion_1,0.2623895014173483
gaugeformer_v13,pmsm,insertion_2,0.3056749583783658
gaugeformer_v13,pmsm,insertion_2,0.06888518488847861
gaugeformer_v13,pmsm,insertion_2,0.6421308253781177
gaugeformer_v13,pmsm,insertion_4,1.1836964966753571
gaugeformer_v13,pmsm,insertion_4,1.7996004326634285
gaugeformer_v13,pmsm,insertion_4,2.1216944385806347
gaugeformer_v13,steel_industry,reference,0.0
gaugeformer_v13,steel_industry,legal_gauge_direct,0.005400650094822268
gaugeformer_v13,steel_industry,legal_gauge_canonical_preprocessing,0.005400018197843082
gaugeformer_v13,steel_industry,deletion_10,2.7244267601183925
gaugeformer_v13,steel_industry,deletion_10,2.7244267601183925
gaugeformer_v13,steel_industry,deletion_10,2.7244267601183925
gaugeformer_v13,steel_industry,deletion_30,0.49279870556369065
gaugeformer_v13,steel_industry,deletion_30,2.7244267601183925
gaugeformer_v13,steel_industry,deletion_30,0.49279870556369065
gaugeformer_v13,steel_industry,deletion_50,0.49279870556369065
gaugeformer_v13,steel_industry,deletion_50,2.7244267601183925
gaugeformer_v13,steel_industry,deletion_50,0.49279870556369065
gaugeformer_v13,steel_industry,insertion_1,3.6497679733900057
gaugeformer_v13,steel_industry,insertion_1,2.0947485742904837
gaugeformer_v13,steel_industry,insertion_1,2.215571533408922
gaugeformer_v13,steel_industry,insertion_2,3.649181725563966
gaugeformer_v13,steel_industry,insertion_2,4.2809212680360975
gaugeformer_v13,steel_industry,insertion_2,4.017875282543071
gaugeformer_v13,steel_industry,insertion_4,4.010699361617842
gaugeformer_v13,steel_industry,insertion_4,4.790320793607772
gaugeformer_v13,steel_industry,insertion_4,4.890700524126679
unitime,building_energy,reference,0.0
unitime,building_energy,legal_gauge_direct,10.057494983336724
unitime,building_energy,legal_gauge_canonical_preprocessing,3.771086027892778e-05
unitime,building_energy,deletion_10,30.952011999580552
unitime,building_energy,deletion_10,30.920410611163618
unitime,building_energy,deletion_10,31.369548438779525
unitime,building_energy,deletion_30,36.73073111975786
unitime,building_energy,deletion_30,33.14862000883467
unitime,building_energy,deletion_30,33.252531703639136
unitime,building_energy,deletion_50,63.0883428996045
unitime,building_energy,deletion_50,63.18914336784478
unitime,building_energy,deletion_50,34.155630199387524
unitime,building_energy,insertion_1,0.0
unitime,building_energy,insertion_1,0.0
unitime,building_energy,insertion_1,0.0
unitime,building_energy,insertion_2,-8.148490771020533e-08
unitime,building_energy,insertion_2,-8.148490771020533e-08
unitime,building_energy,insertion_2,-8.148490771020533e-08
unitime,building_energy,insertion_4,0.0
unitime,building_energy,insertion_4,0.0
unitime,building_energy,insertion_4,0.0
unitime,hydraulic,reference,0.0
unitime,hydraulic,legal_gauge_direct,4242.074503076522
unitime,hydraulic,legal_gauge_canonical_preprocessing,-3.166585813563216e-05
unitime,hydraulic,deletion_10,-2.8425679587940067e-07
unitime,hydraulic,deletion_10,247.09064346867513
unitime,hydraulic,deletion_10,-2.8425679587940067e-07
unitime,hydraulic,deletion_30,246.70098762182198
unitime,hydraulic,deletion_30,245.7026095145022
unitime,hydraulic,deletion_30,234.0095626116923
unitime,hydraulic,deletion_50,283.6020586763898
unitime,hydraulic,deletion_50,225.39812516761035
unitime,hydraulic,deletion_50,233.24300592296606
unitime,hydraulic,insertion_1,1.0736944666689396e-08
unitime,hydraulic,insertion_1,1.0736944666689396e-08
unitime,hydraulic,insertion_1,1.0736944666689396e-08
unitime,hydraulic,insertion_2,2.584175562425628e-06
unitime,hydraulic,insertion_2,2.584175562425628e-06
unitime,hydraulic,insertion_2,2.584175562425628e-06
unitime,hydraulic,insertion_4,2.573438639963399e-06
